x,y,chromosome
2649802,0.6818,Y
2650002,0.3492,Y
2650202,0.7427,Y
2650402,0.0679,Y
2650602,0.6565,Y
2650802,0.3261,Y
2651002,0.2419,Y
2651202,0.5557,Y
2651402,0.4333,Y
2651602,0.2864,Y
2651802,0.4597,Y
2652002,0.3366,Y
2652202,0.3859,Y
2652402,0.3845,Y
2652602,0.3928,Y
2652802,0.5919,Y
2653002,0.1808,Y
2653202,0.2243,Y
2653402,0.2117,Y
2653602,0.3805,Y
2653802,0.6395,Y
2654002,0.1816,Y
2654202,0.8183,Y
2654402,0.5203,Y
2654602,0.7479,Y
2654802,0.2552,Y
2655002,0.2042,Y
2655202,0.1393,Y
2655402,0.3636,Y
2655602,0.1202,Y
2655802,0.595,Y
2656002,0.5528,Y
2656202,0.4774,Y
2656402,0.2369,Y
2656802,0.3031,Y
2657002,0.3729,Y
2657202,0.2982,Y
2657402,0.592,Y
2657602,0.5586,Y
2657802,0.3363,Y
2658002,0.4735,Y
2658202,0.3535,Y
2658402,0.4126,Y
2658602,0.4371,Y
2658802,0.1819,Y
2659002,0.3385,Y
2659202,0.5531,Y
2659402,0.6671,Y
2659602,0.2226,Y
2659802,0.2879,Y
2660002,0.5384,Y
2660202,0.5343,Y
2660402,0.5588,Y
2660602,0.4447,Y
2660802,0.4582,Y
2661002,0.3416,Y
2661202,0.4731,Y
2661402,0.4709,Y
2661602,0.135,Y
2661802,0.3845,Y
2662002,0.2043,Y
2662202,0.5868,Y
2662402,0.4397,Y
2662602,0.4112,Y
2662802,0.3459,Y
2663002,0.5483,Y
2663202,0.4652,Y
2663402,0.2844,Y
2663602,0.308,Y
2663802,0.4198,Y
2664002,0.5468,Y
2664202,0.6371,Y
2664402,0.3247,Y
2664602,0.5079,Y
2664802,0.1267,Y
2665002,0.4045,Y
2665202,0.4903,Y
2665402,0.3521,Y
2665602,0.0972,Y
2665802,0.3389,Y
2666002,0.3912,Y
2666202,0.4485,Y
2666402,0.6784,Y
2666602,0.4339,Y
2666802,0.6845,Y
2667002,0.3716,Y
2667202,0.4694,Y
2667402,0.4939,Y
2667602,0.5406,Y
2667802,0.5092,Y
2668002,0.5131,Y
2668202,0.519,Y
2668402,0.2299,Y
2668602,0.3453,Y
2668802,0.4753,Y
2669202,0.4796,Y
2669402,0.2295,Y
2669602,0.369,Y
2669802,0.3251,Y
2670002,0.3925,Y
2670202,0.3008,Y
2670402,0.3554,Y
2670602,0.6725,Y
2670802,0.605,Y
2671002,0.4954,Y
2671202,0.3149,Y
2671402,0.3831,Y
2671602,0.5188,Y
2671802,0.5124,Y
2672002,0.3138,Y
2672202,0.3511,Y
2672402,0.358,Y
2672602,0.3938,Y
2672802,0.2196,Y
2673002,0.1094,Y
2673402,0.1869,Y
2673602,0.4817,Y
2673802,0.5074,Y
2674002,0.4782,Y
2674202,0.5269,Y
2674402,0.3848,Y
2674602,0.2157,Y
2674802,0.4699,Y
2675002,0.502,Y
2675202,0.1921,Y
2675402,0.4485,Y
2675602,0.7623,Y
2675802,0.6134,Y
2676002,0.5714,Y
2676202,0.4194,Y
2676402,0.6664,Y
2676602,0.6094,Y
2676802,0.3819,Y
2677402,0.1522,Y
2677602,0.2763,Y
2677802,0.3603,Y
2678002,0.3246,Y
2678202,0.3633,Y
2678402,0.6918,Y
2678602,0.3531,Y
2678802,0.6149,Y
2679002,0.4162,Y
2679202,0.8123,Y
2679402,0.3052,Y
2679602,0.623,Y
2679802,0.256,Y
2680002,0.6445,Y
2680202,0.7201,Y
2680602,0.8404,Y
2680802,0.7053,Y
2681002,0.4974,Y
2681202,0.4789,Y
2681402,0.4934,Y
2681602,0.3663,Y
2681802,0.6891,Y
2682002,0.6674,Y
2682202,0.504,Y
2682402,0.5756,Y
2682602,0.4193,Y
2682802,0.4521,Y
2683002,0.3595,Y
2683202,0.3554,Y
2683402,0.2855,Y
2683602,0.2156,Y
2683802,0.4266,Y
2684002,0.4469,Y
2684202,0.2307,Y
2684402,0.3925,Y
2684602,0.4392,Y
2684802,0.6188,Y
2685002,0.6139,Y
2685202,0.4778,Y
2685802,0.3157,Y
2686002,0.2099,Y
2686202,0.6324,Y
2686402,0.3807,Y
2686602,0.1571,Y
2686802,0.6258,Y
2687002,0.6675,Y
2687202,0.4445,Y
2687402,0.3113,Y
2687602,0.5437,Y
2687802,0.7058,Y
2688002,0.8575,Y
2688202,0.443,Y
2688402,0.2977,Y
2688602,0.5119,Y
2688802,0.4552,Y
2689002,0.3486,Y
2689202,0.4594,Y
2689402,0.7666,Y
2689602,0.76,Y
2689802,0.1304,Y
2690002,0.5046,Y
2690202,0.2029,Y
2690402,0.3389,Y
2690602,0.4724,Y
2690802,0.273,Y
2691002,0.4611,Y
2691202,0.1939,Y
2691402,0.4612,Y
2691802,0.4571,Y
2692002,0.6118,Y
2692202,0.4454,Y
2692402,0.5962,Y
2692602,0.2548,Y
2692802,0.6721,Y
2693002,0.629,Y
2693202,0.4146,Y
2693402,0.3032,Y
2693602,0.6107,Y
2693802,0.2974,Y
2694002,0.461,Y
2694202,0.5772,Y
2694402,0.4878,Y
2694602,0.6773,Y
2694802,0.3818,Y
2695002,0.2676,Y
2695202,0.4298,Y
2695402,0.3087,Y
2695602,0.4748,Y
2695802,0.5444,Y
2696002,0.5509,Y
2696202,0.6011,Y
2696402,0.522,Y
2696602,0.2856,Y
2696802,0.2228,Y
2697002,0.4882,Y
2697202,0.396,Y
2697402,0.4603,Y
2697602,0.5757,Y
2697802,0.2484,Y
2698002,0.4713,Y
2698202,0.3539,Y
2698402,0.3631,Y
2698602,0.1641,Y
2698802,0.4773,Y
2699002,0.485,Y
2699202,0.2864,Y
2699402,0.5946,Y
2699602,0.6004,Y
2699802,0.4233,Y
2700002,0.0601,Y
2700202,0.2877,Y
2700402,0.2234,Y
2700602,0.5538,Y
2700802,0.5201,Y
2701202,0.4694,Y
2701402,0.5336,Y
2701602,0.5141,Y
2701802,0.4137,Y
2702002,0.6844,Y
2702202,0.4978,Y
2702402,0.2141,Y
2702602,0.3845,Y
2702802,0.4476,Y
2703002,0.3825,Y
2703202,0.5738,Y
2703402,0.42,Y
2703602,0.1441,Y
2703802,0.5229,Y
2704002,0.2811,Y
2704202,0.2536,Y
2704402,0.3145,Y
2704602,0.3069,Y
2704802,0.5915,Y
2705002,0.4923,Y
2705202,0.4304,Y
2705402,0.3006,Y
2705602,0.6567,Y
2705802,0.4478,Y
2706002,0.5579,Y
2706202,0.2423,Y
2706402,0.43,Y
2706602,0.608,Y
2706802,0.2674,Y
2707002,0.2532,Y
2707202,0.2571,Y
2707402,0.3218,Y
