x,y,chromosome
9411202,0,21
9411402,0.203,21
9411602,0.7545,21
9411802,0.8409,21
9412002,0.5357,21
9412202,0.5161,21
9412402,0.7382,21
9412602,0.3139,21
9412802,0.5234,21
9413002,0.2527,21
9413202,0.5796,21
9413402,0.4659,21
9413602,0.5909,21
9413802,0.3363,21
9414002,0.611,21
9414202,0.2322,21
9414402,0.6724,21
9414602,0.7851,21
9414802,0.3463,21
9415002,0.3271,21
9415202,0.6459,21
9415402,0.4781,21
9415602,0.5195,21
9415802,0.6542,21
9416002,0.8958,21
9416202,0.2995,21
9416402,0.7278,21
9416602,0.1923,21
9416802,1.2961,21
9417002,0.2424,21
9417202,0.4867,21
9417402,0.6496,21
9417602,0.4947,21
9417802,0.6133,21
9418002,0.3001,21
9418202,0.3799,21
9418402,0.6376,21
9418602,0.5664,21
9418802,0.7171,21
9419002,0.4977,21
9419202,1.0207,21
9419402,1.0572,21
9419602,0.3059,21
9419802,0.5093,21
9420002,0.6905,21
9420202,0.4933,21
9420402,0.6517,21
9420602,0.7102,21
9420802,0.8021,21
9421002,0.3351,21
9421202,0.623,21
9421402,0.4941,21
9421602,0.6947,21
9421802,0.4837,21
9422002,0.8069,21
9422202,0.6373,21
9422402,1.5686,21
9422602,0,21
9422802,0,21
9423002,0.4257,21
9423202,0,21
9423402,1.0033,21
9423602,0,21
9423802,0,21
9424602,0,21
9424802,1.9481,21
9425002,0,21
9425202,1.7994,21
9425402,0.5234,21
9425602,0.6332,21
9425802,1.9359,21
9426002,0.2354,21
9426202,1.0581,21
9426402,0.7322,21
9426602,0.7922,21
9426802,1.3096,21
9427002,0.2683,21
9427202,0.9781,21
9427402,0,21
9427602,0.8821,21
9427802,0.608,21
9428002,0.4092,21
9428202,0.9429,21
9428402,0.181,21
9428802,0,21
9429002,0,21
9429202,0,21
9429402,0.4265,21
9429602,1.6755,21
9429802,0,21
9430002,1.4611,21
9430202,0.1812,21
9430602,0,21
9430802,0,21
9431002,1.3031,21
9431202,0.4432,21
9431402,0.5885,21
9431602,0,21
9431802,0,21
9432002,1.2249,21
9432202,1.2337,21
9432402,0.7607,21
9432602,1.0045,21
9432802,0.3009,21
9433002,1.3454,21
9433202,0,21
9433402,1.7298,21
9433602,0.5694,21
9433802,1.1757,21
9434002,0.1899,21
9434202,0.5968,21
9434402,0.1783,21
9434602,0.7491,21
9434802,0.4165,21
9435002,0.8405,21
9435202,0.3132,21
9435402,0.9986,21
9435602,0.8939,21
9435802,0.4354,21
9436002,0.3284,21
9436202,0.5062,21
9436402,0.5882,21
9436602,0.5872,21
9436802,0.5231,21
9437002,0.9253,21
9437202,0,21
9437402,0.5465,21
9437602,0.5177,21
9437802,0.4351,21
9438002,0.6341,21
9438202,0.6541,21
9438402,0.4859,21
9438602,0.4716,21
9438802,0.7424,21
9439002,1.0317,21
9439202,0.2319,21
9439402,0.4476,21
9439602,1.2688,21
9439802,0.5019,21
9440002,0.5476,21
9440202,0,21
9440402,1.1077,21
9440602,0.4668,21
9440802,1.0041,21
9441002,1.8313,21
9441202,0,21
9442002,0,21
9442202,0.7796,21
9442402,0.5879,21
9442602,0.692,21
9442802,0.4776,21
9443002,0.8269,21
9443202,0.7094,21
9443402,1.0109,21
9443602,0.5693,21
9443802,0.8135,21
9444002,1.1039,21
9444202,0,21
9444402,0,21
9444602,0,21
9444802,0.5857,21
9445002,0,21
9446002,0,21
9446202,1.3684,21
9446402,0.2599,21
9446602,0.4334,21
9446802,1.5721,21
9447002,0,21
9447202,0,21
9447602,0,21
9447802,0,21
9448002,1.0014,21
9448202,0.2942,21
9448402,0.5036,21
9448602,0.1334,21
9448802,0.7496,21
9449002,0,21
9449402,0,21
9450402,0,21
9450602,1.278,21
9450802,0.5859,21
9451002,0.7037,21
9451202,0.2346,21
9451402,1.3936,21
9451602,0.523,21
9451802,1.1786,21
9452002,0.5171,21
9452202,1.0237,21
9452402,0,21
9452602,1.5829,21
9452802,0,21
9453202,0.8304,21
9453402,1.2903,21
9453602,0.7295,21
9453802,2.0104,21
9454002,0,21
9454202,0,21
9454602,0,21
9455002,0,21
9455402,0.5179,21
9455602,1.4838,21
9455802,0.1459,21
9456002,1.692,21
9456202,0,21
9456402,0,21
9459002,0,21
9459202,0,21
9459402,1.0088,21
9459602,0.9421,21
9459802,0.5886,21
9460002,0.9671,21
9460202,0.4472,21
9460402,0.278,21
9460602,0.3017,21
9460802,1.6923,21
9461002,0,21
9461402,0,21
9461602,0,21
9462002,0,21
9462202,0,21
9462402,0.9745,21
9462602,0,21
9462802,0.7193,21
9463002,0,21
9463402,0,21
9463802,0,21
9464002,0,21
9464202,0.6735,21
9464402,0.2234,21
9464602,2.0938,21
9464802,0,21
9465002,0,21
9465202,0,21
9465602,0.1901,21
9465802,0.6694,21
9466002,0.2401,21
9466202,0.4999,21
9466402,0.2209,21
9466602,0.7261,21
9466802,0.1881,21
9467002,1.1131,21
9467202,0.1652,21
9467402,0,21
9469202,0,21
9469402,0,21
9469602,0,21
9469802,0,21
9470002,0.5835,21
9470202,0,21
9470402,0,21
9470602,0.2237,21
9470802,0.9063,21
9471002,0.5592,21
9471202,0.8091,21
9471402,0.8055,21
9471602,0.6365,21
9471802,1.4458,21
9472002,0,21
9472202,0.2759,21
9472402,0.7245,21
9472602,0.4654,21
9472802,0.2844,21
9473002,0.2932,21
9473202,0.7552,21
9473402,0.305,21
9473602,1.0548,21
9473802,0.1709,21
9474002,0.5234,21
9474202,0.6376,21
9474402,0.3709,21
9474602,0.6224,21
9474802,0,21
9475002,1.7403,21
9475202,0,21
9475402,0,21
9475602,0.55,21
9475802,0.3618,21
9476002,0.4865,21
9476202,0.4145,21
9476402,0.3276,21
9476602,0.535,21
9476802,1.0184,21
9477002,0.6207,21
9477202,0.9323,21
9477402,0.1171,21
9477602,1.278,21
9477802,0.8158,21
9478002,2.161,21
9478202,0,21
9478402,0.7308,21
9478602,0.4699,21
9478802,0.6556,21
9479002,2.0557,21
9479202,0.2884,21
9479402,1.2664,21
9479602,0.1123,21
9479802,1.6319,21
9480002,0.1681,21
9480202,2.0449,21
9480402,0.4075,21
9480602,1.0677,21
9480802,0.4266,21
9481002,0.3458,21
9481202,0.7796,21
9481402,0.3915,21
9481602,0,21
9481802,0,21
9482002,1.177,21
9482202,0,21
9482402,1.4715,21
9482602,0,21
9482802,0,21
9483002,0,21
9483202,0.1622,21
9483402,1.0291,21
9483602,0.6017,21
9483802,0.5167,21
9484002,0.6403,21
9484202,0.4492,21
9484402,0.6478,21
9484602,0.5339,21
9484802,0.3765,21
9485002,0.1205,21
9485202,0,21
9485402,0.2486,21
9485602,0,21
9486002,0,21
9486202,0,21
9486402,0,21
9486602,0.5227,21
9486802,0,21
9487002,0,21
9488602,0,21
9488802,1.0843,21
9489002,0.4556,21
9489202,1.0535,21
9489402,0.4977,21
9489602,1.2158,21
9490002,0,21
9490602,0,21
9490802,0.7465,21
9491002,0.9847,21
9491202,0.6274,21
9491402,0.3923,21
9491602,0.6128,21
9491802,0.1206,21
9492002,1.3082,21
9492202,0,21
9492402,0,21
9492602,0,21
9492802,0.2591,21
9493002,0.5278,21
9493202,0,21
9493402,0,21
9493602,0,21
9493802,0,21
9494002,0,21
9494202,0,21
9494402,0.2774,21
9494602,0,21
9494802,0,21
9495002,0,21
9495202,0,21
9495402,0.5879,21
9495602,0.2684,21
9495802,0.8718,21
9496002,0,21
9496202,0,21
9496602,0,21
9496802,0,21
9497002,0,21
9497202,0.4714,21
9497402,0,21
9497602,0,21
9498002,0,21
9498202,0.8813,21
9498402,0.9658,21
9498602,1.5693,21
9498802,1.2441,21
9499002,0.3532,21
9499202,0.2091,21
9499402,0.0984,21
9499602,0.6,21
9499802,0.8483,21
9500002,0,21
9500202,0.5503,21
9500402,0,21
9501202,0,21
9501402,0,21
9501802,0.7227,21
9502002,1.5662,21
9502202,0,21
9502402,0,21
9502602,0.1918,21
9502802,0.5221,21
9503002,0.5318,21
9503202,0.2284,21
9503402,0.3923,21
9503602,0.3021,21
9503802,0.4965,21
9504002,0.7238,21
9504202,0.6126,21
9504402,0.5844,21
9504602,0.8225,21
9504802,0.5725,21
9505002,0.4795,21
9505202,0.9636,21
9505402,0,21
9505602,0,21
9505802,0.2613,21
9506002,0,21
9506202,0,21
9506402,0,21
9506602,0.261,21
9506802,0.2936,21
9507002,0.7833,21
9507202,0.319,21
9507402,0.6659,21
9507602,0.1742,21
9507802,0,21
9508002,0,21
9508202,0,21
9508402,0,21
9509202,0,21
9509402,0,21
9509602,0.3392,21
9509802,0.5873,21
9510002,0.7159,21
9510202,0.4008,21
9510402,0.7733,21
9510602,0.2136,21
9510802,0.1241,21
9511002,1.0124,21
9511202,0.512,21
9511402,0.8707,21
9511602,0,21
9511802,0,21
9512002,0,21
9512202,0,21
9512802,0,21
9513002,0,21
9513202,0.7247,21
9513402,0,21
9513602,0.2771,21
9513802,0.4282,21
9514002,0.853,21
9514202,0.5872,21
9514402,0.4881,21
9514602,0.9421,21
9514802,0,21
9515002,0.3356,21
9515202,0,21
9515402,1.6869,21
9515602,0.162,21
9515802,0.2545,21
9516002,1.4172,21
9516202,0.6718,21
9516402,0.4952,21
9516602,0.3599,21
9516802,0.4272,21
9517002,0,21
9517202,0,21
9517602,0,21
9517802,0.7797,21
9518002,0.6046,21
9518202,0.2944,21
9518402,0.4708,21
9518602,0,21
9518802,0,21
9519002,0,21
9519202,0,21
9519402,0.9063,21
9519602,1.0405,21
9519802,0.2684,21
9520002,0.3626,21
9520202,0,21
9520402,0,21
9520602,0,21
9520802,0,21
9521002,0.6684,21
9521202,0.2769,21
9521402,0.642,21
9521602,0,21
9521802,0,21
9522002,1.0067,21
9522202,0.8948,21
9522402,0.7527,21
9522602,0.6272,21
9522802,0.6421,21
9523002,0.4009,21
9523202,0.5051,21
9523402,0.3117,21
9523602,0.1515,21
9523802,0,21
9524002,0.4952,21
9524202,0,21
9524402,0.3989,21
9524602,0.9122,21
9524802,0.0856,21
9525002,0.6349,21
9525202,0.695,21
9525402,1.0086,21
9525602,0.6503,21
9525802,0.6725,21
9526002,1.0413,21
